child_id,group,question_id,question_type,shown_letters,target_letter,selected_letter,correct,response_time_ms
655,dyslexic,q95,matching,"n,b",n,n,1,1439
96,dyslexic,q65,same_different,"m,d",different,different,1,1885
460,non-dyslexic,q1,same_different,"n,n",same,same,1,1170
95,dyslexic,q46,matching,"n,q",n,q,0,1621
301,non-dyslexic,q80,matching,"b,n",b,b,1,940
888,dyslexic,q36,matching,"p,u",p,p,1,2292
664,dyslexic,q82,same_different,"m,m",same,same,1,1839
705,non-dyslexic,q88,matching,"u,b",b,b,1,921
936,non-dyslexic,q92,matching,"q,n,u",q,q,1,1242
575,non-dyslexic,q96,matching,"d,u,m",u,u,1,876
157,non-dyslexic,q88,matching,"q,m,u",u,u,1,1368
697,non-dyslexic,q88,matching,"b,p,q",b,b,1,1197
781,dyslexic,q14,matching,"d,p",d,d,1,2332
941,dyslexic,q42,matching,"u,p,d",u,u,1,2000
88,non-dyslexic,q9,same_different,"d,d",same,same,1,1206
894,non-dyslexic,q28,same_different,"n,n",same,same,1,1294
922,non-dyslexic,q16,same_different,"d,d",same,same,1,1185
226,dyslexic,q91,same_different,"d,b",different,same,0,1603
244,dyslexic,q63,same_different,"m,d",different,same,0,2111
249,non-dyslexic,q53,same_different,"b,u",different,different,1,1339
885,non-dyslexic,q87,same_different,"b,q",different,different,1,974
197,dyslexic,q58,same_different,"q,q",same,same,1,2364
454,non-dyslexic,q71,same_different,"b,n",different,different,1,1087
870,dyslexic,q53,matching,"b,d,q",b,q,0,2548
804,non-dyslexic,q55,matching,"d,b,m",m,m,1,1135
52,non-dyslexic,q65,same_different,"b,b",same,same,1,1041
883,dyslexic,q16,same_different,"m,m",same,same,1,2222
579,non-dyslexic,q34,same_different,"n,n",same,same,1,1105
661,dyslexic,q41,same_different,"b,q",different,different,1,1520
551,dyslexic,q34,same_different,"p,b",different,different,1,1673
854,non-dyslexic,q39,same_different,"n,n",same,same,1,1004
119,non-dyslexic,q96,same_different,"p,u",different,different,1,1183
650,non-dyslexic,q65,matching,"n,q",q,q,1,1338
134,non-dyslexic,q34,same_different,"n,q",different,different,1,837
78,non-dyslexic,q89,same_different,"m,b",different,different,1,1061
131,dyslexic,q47,same_different,"p,d",different,different,1,1961
574,non-dyslexic,q53,same_different,"d,u",different,different,1,1228
184,non-dyslexic,q43,matching,"p,d",p,p,1,959
228,dyslexic,q59,matching,"b,n",b,b,1,1702
991,non-dyslexic,q45,matching,"b,u,p",b,b,1,1080
112,non-dyslexic,q45,matching,"q,m",q,q,1,1246
533,non-dyslexic,q69,same_different,"p,p",same,same,1,1297
322,non-dyslexic,q16,matching,"p,q,u",u,u,1,1400
963,dyslexic,q96,same_different,"m,m",same,same,1,1477
294,dyslexic,q75,matching,"n,d,m",d,u,0,1741
87,dyslexic,q85,matching,"d,u,n",d,d,1,2042
871,non-dyslexic,q59,matching,"n,u",u,u,1,1086
672,non-dyslexic,q97,same_different,"u,u",same,same,1,1448
52,non-dyslexic,q16,matching,"u,q,m",m,m,1,1376
457,non-dyslexic,q96,matching,"u,n",n,n,1,1457
642,dyslexic,q57,same_different,"n,n",same,same,1,2452
83,dyslexic,q30,matching,"b,q",q,q,1,1983
64,dyslexic,q54,matching,"u,m",m,m,1,2455
306,non-dyslexic,q54,same_different,"q,q",same,same,1,1284
685,non-dyslexic,q52,same_different,"u,q",different,same,0,1352
929,dyslexic,q73,same_different,"b,b",same,different,0,1598
267,dyslexic,q28,matching,"p,q,u",p,p,1,2305
54,non-dyslexic,q45,same_different,"n,b",different,different,1,894
205,non-dyslexic,q80,same_different,"d,d",same,same,1,1142
717,dyslexic,q48,same_different,"m,u",different,different,1,2237
988,dyslexic,q75,same_different,"p,m",different,same,0,1989
204,dyslexic,q89,same_different,"b,n",different,same,0,2044
816,non-dyslexic,q6,matching,"b,m,p",b,b,1,1328
444,non-dyslexic,q82,matching,"d,n,m",m,m,1,1549
496,non-dyslexic,q94,matching,"p,q",p,p,1,1539
685,dyslexic,q4,matching,"q,d",d,q,0,1838
719,non-dyslexic,q72,same_different,"m,m",same,same,1,1442
777,dyslexic,q61,matching,"p,d",d,d,1,1882
596,dyslexic,q71,matching,"p,n,q",n,n,1,1666
739,dyslexic,q16,same_different,"d,u",different,different,1,2197
538,non-dyslexic,q13,same_different,"p,p",same,same,1,1378
281,dyslexic,q7,matching,"b,u,m",u,u,1,1938
189,non-dyslexic,q33,matching,"q,b,m",m,m,1,993
831,non-dyslexic,q39,same_different,"d,b",different,different,1,1229
536,dyslexic,q57,matching,"p,m,n",p,p,1,2182
971,non-dyslexic,q81,same_different,"p,p",same,same,1,1384
161,dyslexic,q58,matching,"p,n",n,q,0,1647
240,non-dyslexic,q81,same_different,"q,b",different,different,1,1108
74,dyslexic,q40,matching,"n,p,q",p,p,1,2017
83,non-dyslexic,q56,matching,"b,d",b,u,0,1222
42,non-dyslexic,q23,matching,"p,d,m",d,d,1,1326
482,dyslexic,q43,matching,"p,q",q,q,1,2469
834,non-dyslexic,q5,matching,"p,b,q",q,q,1,969
891,non-dyslexic,q53,same_different,"d,d",same,same,1,1446
53,dyslexic,q71,same_different,"p,q",different,different,1,1590
624,non-dyslexic,q91,same_different,"p,p",same,same,1,1059
473,non-dyslexic,q83,same_different,"q,q",same,same,1,1348
484,dyslexic,q71,same_different,"q,d",different,different,1,2334
885,dyslexic,q99,matching,"u,b,p",p,p,1,2149
676,non-dyslexic,q20,matching,"p,m,n",m,m,1,1177
715,dyslexic,q50,same_different,"u,u",same,same,1,2219
396,non-dyslexic,q84,same_different,"q,q",same,different,0,1164
896,non-dyslexic,q13,matching,"q,n",q,q,1,1157
639,non-dyslexic,q84,same_different,"u,p",different,different,1,1270
642,non-dyslexic,q98,matching,"m,b",m,m,1,1152
765,dyslexic,q13,same_different,"q,d",different,same,0,1530
816,dyslexic,q46,matching,"m,q",m,m,1,1636
892,dyslexic,q88,same_different,"q,q",same,same,1,1777
262,non-dyslexic,q60,matching,"b,q",q,p,0,1410
257,non-dyslexic,q39,same_different,"q,q",same,same,1,1314
303,non-dyslexic,q38,same_different,"u,u",same,same,1,1005
764,non-dyslexic,q37,same_different,"m,m",same,same,1,1229
774,non-dyslexic,q85,same_different,"n,b",different,different,1,1228
35,non-dyslexic,q94,same_different,"b,b",same,same,1,1038
806,non-dyslexic,q47,matching,"u,q,p",p,p,1,1036
987,dyslexic,q97,same_different,"u,n",different,same,0,2532
375,dyslexic,q51,same_different,"p,p",same,same,1,2338
269,non-dyslexic,q82,matching,"q,b",b,p,0,1026
844,non-dyslexic,q90,matching,"d,b",d,d,1,1333
